[Wed Jan 01 20:00:51 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 0 | 
[Wed Jan 01 20:00:51 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 1 | 
[Wed Jan 01 20:00:51 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 2 | 
[Wed Jan 01 20:00:51 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 3 | 
[Wed Jan 01 20:00:52 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 0 | 
[Wed Jan 01 20:00:52 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 1 | 
[Wed Jan 01 20:00:52 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 2 | 
[Wed Jan 01 20:00:52 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 54 Z: 126901 | Line: 3 | 
[Wed Jan 01 20:00:54 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 53 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:00:54 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 53 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:00:54 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 53 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:00:54 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 53 Z: 126902 | Line: 3 | 
[Wed Jan 01 20:00:57 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 55 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:00:57 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 55 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:00:57 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 55 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:00:57 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 55 Z: 126902 | Line: 3 | 
[Wed Jan 01 20:01:03 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 57 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:01:03 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 57 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:01:03 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 57 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:01:03 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 57 Z: 126902 | Line: 3 | 
[Wed Jan 01 20:01:04 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 59 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:01:04 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 59 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:01:04 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 59 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:01:04 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 59 Z: 126902 | Line: 3 | 
[Wed Jan 01 20:01:07 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 61 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:01:07 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 61 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:01:07 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 61 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:01:07 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 61 Z: 126902 | Line: 3 | 
[Wed Jan 01 20:01:09 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 63 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:01:09 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 63 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:01:09 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 63 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:01:09 UTC 2025] SrIvanRus00 | Location: X: -196158 Y: 63 Z: 126902 | Line: 3 | 
[Wed Jan 01 20:08:05 UTC 2025] SrIvanRus00 | Location: X: -196161 Y: 62 Z: 126902 | Line: 0 | 
[Wed Jan 01 20:08:05 UTC 2025] SrIvanRus00 | Location: X: -196161 Y: 62 Z: 126902 | Line: 1 | 
[Wed Jan 01 20:08:05 UTC 2025] SrIvanRus00 | Location: X: -196161 Y: 62 Z: 126902 | Line: 2 | 
[Wed Jan 01 20:08:05 UTC 2025] SrIvanRus00 | Location: X: -196161 Y: 62 Z: 126902 | Line: 3 | 
